7681,MAESTRÍA EN SALUD OCUPACIONAL,True
7682,MAESTRÍA EN ADMINISTRACIÓN DE SALUD,True
7689,MAESTRÍA EN EPIDEMIOLOGÍA,True
7691,MAESTRÍA EN ENFERMERÍA - ÉNFASIS EN CUIDADO AL ADULTO Y AL ANCIANO,True
7692,MAESTRÍA EN ENFERMERÍA - ÉNFASIS EN CUIDADO MATERNO-INFANTIL,True
7693,MAESTRÍA EN ENFERMERÍA - ÉNFASIS EN CUIDADO AL NIÑO,True
7712,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN AUTOMÁTICA,True
7713,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA CIVIL,True
7714,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA ELÉCTRICA,True
7715,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA ELECTRÓNICA,True
7716,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA INDUSTRIAL,True
7717,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA DE LOS MATERIALES,True
7718,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA MECÁNICA,True
7719,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA QUÍMICA,True
7720,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA SANITARIA Y AMBIENTAL,True
7721,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA DE SISTEMAS Y COMPUTACIÓN,True
7722,MAESTRÍA EN INGENIERÍA - ÉNFASIS EN INGENIERÍA AEROESPACIAL,True
7723,MAESTRÍA EN ESTADÍSTICA,True
7724,MAESTRÍA EN GESTIÓN INTEGRADA DE LOS RECURSOS HÍDRICOS,True
7787,MAESTRÍA EN DESARROLLO SUSTENTABLE,True
7788,MAESTRÍA EN INGENIERÍA DE ALIMENTOS,True
7878,MAESTRÍA EN CIENCIAS DE LA ORGANIZACIÓN,True
7879,MAESTRÍA EN POLÍTICAS PÚBLICAS,True
7880,MAESTRÍA EN ADMINISTRACIÓN,True
7881,MAESTRÍA EN CONTABILIDAD,True
9190,DOCTORADO EN CIENCIAS DEL MAR,True
9195,DOCTORADO EN CIENCIAS FÍSICAS,True
9196,DOCTORADO EN CIENCIAS MATEMÁTICAS,True
9197,DOCTORADO EN CIENCIAS AMBIENTALES,True
9202,DOCTORADO EN HUMANIDADES,True
9203,DOCTORADO EN FILOSOFÍA,True
9301,DOCTORADO EN SOCIOLOGIA,True
9405,DOCTORADO INTERINSTITUCIONAL EN EDUCACIÓN,True
9410,DOCTORADO EN PSICOLOGÍA,True
9680,DOCTORADO EN SALUD,True
9695,DOCTORADO EN CIENCIAS BIOMÉDICAS,True
9701,DOCTORADO EN INGENIERÍA - ÉNFASIS EN INGENIERÍA DE ALIMENTOS,True
9702,DOCTORADO EN INGENIERÍA - ÉNFASIS EN CIENCIAS DE LA COMPUTACIÓN,True
9703,DOCTORADO EN INGENIERÍA - ÉNFASIS EN INGENIERÍA ELÉCTRICA Y ELECTRÓNICA,True
9704,DOCTORADO EN INGENIERÍA - ÉNFASIS EN INGENIERÍA DE LOS MATERIALES,True
9705,DOCTORADO EN INGENIERÍA - ÉNFASIS EN INGENIERÍA QUÍMICA,True
9706,DOCTORADO EN INGENIERÍA - ÉNFASIS EN INGENIERÍA SANITARIA Y AMBIENTAL,True
9707,DOCTORADO EN INGENIERÍA - ÉNFASIS EN INGENIERÍA INDUSTRIAL,True
9708,DOCTORADO EN INGENIERÍA - ÉNFASIS MECÁNICA DE SÓLIDOS,True
9801,DOCTORADO EN ADMINISTRACIÓN,True
